FREQ,Frequency,DER_TYPE,Measure,DER_INSTR,Instrument,DER_RISK,Risk category,DER_REP_CTY,Reporting country,DER_SECTOR_CPY,Counterparty sector,DER_CPC,Counterparty country,DER_SECTOR_UDL,Underlying risk sector,DER_CURR_LEG1,Currency leg 1,DER_CURR_LEG2,Currency leg 2,DER_ISSUE_MAT,Maturity,DER_RATING,Rating (outstanding) or settlement (FX turnover),DER_EX_METHOD,Execution method,DER_BASIS,Basis,TIME_FORMAT,Time Format,AVAILABILITY,Availability,COLLECTION,Collection Indicator,TITLE_TS,Series,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),CZK,Czech koruna,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5Z:A:CZK:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650.374269,,,10596.573103
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),1E,Residents/Local,A,Total (all sectors),CZK,Czech koruna,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:1E:A:CZK:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3116.736968,,,11816.617879
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),CZK,Czech koruna,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5J:A:CZK:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5767.111246,,,22413.190992
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),DKK,Danish krone,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5Z:A:DKK:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885.106039,,,636.103061
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),1E,Residents/Local,A,Total (all sectors),DKK,Danish krone,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:1E:A:DKK:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.427039,,,808.058296
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),DKK,Danish krone,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5J:A:DKK:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.583081,,,1444.161364
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),EUR,Euro,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5Z:A:EUR:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186233.924822,,,354484.776242
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),EUR,Euro,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5J:A:EUR:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509008.412309,,,591842.129296
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),1E,Residents/Local,A,Total (all sectors),EUR,Euro,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:1E:A:EUR:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322774.484388,,,237357.353489
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),1E,Residents/Local,A,Total (all sectors),GBP,Pound (sterling),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:1E:A:GBP:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118251.595025,,,16519.302552
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),GBP,Pound (sterling),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5Z:A:GBP:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43471.527405,,,17047.574323
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),GBP,Pound (sterling),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5J:A:GBP:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161723.122447,,,33566.871629
